m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_eventStringCode,m_eventDetails
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4096}"
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4160}"
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4164}"
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4160}"
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4176}"
155822,1978039479526609313,155822,2936.474853515625,BUTN,"{""buttonStatus"": 4160}"
155837,1978039479526609313,155837,2937.2314453125,BUTN,"{""buttonStatus"": 4164}"
155839,1978039479526609313,155839,2937.347412109375,BUTN,"{""buttonStatus"": 4160}"
155880,1978039479526609313,155880,2939.39697265625,BUTN,"{""buttonStatus"": 4164}"
155882,1978039479526609313,155882,2939.497314453125,BUTN,"{""buttonStatus"": 4160}"
155953,1978039479526609313,155953,2943.033935546875,BUTN,"{""buttonStatus"": 2120}"
155955,1978039479526609313,155955,2943.16748046875,BUTN,"{""buttonStatus"": 2112}"
155957,1978039479526609313,155957,2943.2509765625,BUTN,"{""buttonStatus"": 2120}"
155959,1978039479526609313,155959,2943.334228515625,BUTN,"{""buttonStatus"": 2112}"
155960,1978039479526609313,155960,2943.41796875,BUTN,"{""buttonStatus"": 2120}"
155963,1978039479526609313,155963,2943.534423828125,BUTN,"{""buttonStatus"": 2112}"
155965,1978039479526609313,155965,2943.6513671875,BUTN,"{""buttonStatus"": 2120}"
155967,1978039479526609313,155967,2943.734619140625,BUTN,"{""buttonStatus"": 2112}"
155969,1978039479526609313,155969,2943.834716796875,BUTN,"{""buttonStatus"": 2120}"
155971,1978039479526609313,155971,2943.95166015625,BUTN,"{""buttonStatus"": 2112}"
155973,1978039479526609313,155973,2944.0517578125,BUTN,"{""buttonStatus"": 2120}"
155976,1978039479526609313,155976,2944.18505859375,BUTN,"{""buttonStatus"": 2112}"
155980,1978039479526609313,155980,2944.385498046875,BUTN,"{""buttonStatus"": 2120}"
155980,1978039479526609313,155980,2944.418701171875,BUTN,"{""buttonStatus"": 2152}"
155982,1978039479526609313,155982,2944.518798828125,BUTN,"{""buttonStatus"": 2144}"
155989,1978039479526609313,155989,2944.869140625,BUTN,"{""buttonStatus"": 2080}"
156000,1978039479526609313,156000,2945.403076171875,BUTN,"{""buttonStatus"": 32}"
156018,1978039479526609313,156018,2946.287109375,BUTN,"{""buttonStatus"": 96}"
156021,1978039479526609313,156021,2946.470703125,BUTN,"{""buttonStatus"": 4192}"
156037,1978039479526609313,156037,2947.23828125,BUTN,"{""buttonStatus"": 4160}"
156059,1978039479526609313,156059,2948.35595703125,BUTN,"{""buttonStatus"": 4164}"
156061,1978039479526609313,156061,2948.4560546875,BUTN,"{""buttonStatus"": 4160}"
156079,1978039479526609313,156079,2949.323486328125,BUTN,"{""buttonStatus"": 4164}"
156081,1978039479526609313,156081,2949.440185546875,BUTN,"{""buttonStatus"": 4160}"
156099,1978039479526609313,156099,2950.324462890625,BUTN,"{""buttonStatus"": 4164}"
156101,1978039479526609313,156101,2950.441162109375,BUTN,"{""buttonStatus"": 4160}"
156124,1978039479526609313,156124,2951.609130859375,BUTN,"{""buttonStatus"": 4162}"
156127,1978039479526609313,156127,2951.75927734375,BUTN,"{""buttonStatus"": 4160}"
156132,1978039479526609313,156132,2952.009521484375,BUTN,"{""buttonStatus"": 4164}"
156134,1978039479526609313,156134,2952.109619140625,BUTN,"{""buttonStatus"": 4160}"
156157,1978039479526609313,156157,2953.243896484375,BUTN,"{""buttonStatus"": 4164}"
156159,1978039479526609313,156159,2953.36083984375,BUTN,"{""buttonStatus"": 4160}"
156193,1978039479526609313,156193,2955.029052734375,BUTN,"{""buttonStatus"": 4164}"
156195,1978039479526609313,156195,2955.16259765625,BUTN,"{""buttonStatus"": 4160}"
156226,1978039479526609313,156226,2956.697265625,SPTP,"{""vehicleIdx"": 0, ""speed"": 322.41961669921875, ""isOverallFastestInSession"": 0, ""isDriverFastestInSession"": 0, ""fastestVehicleIdxInSession"": 0, ""fastestSpeedInSession"": 323.5525817871094}"
156240,1978039479526609313,156240,2957.381591796875,BUTN,"{""buttonStatus"": 4168}"
156240,1978039479526609313,156240,2957.414794921875,BUTN,"{""buttonStatus"": 2120}"
156242,1978039479526609313,156242,2957.4814453125,BUTN,"{""buttonStatus"": 2112}"
156244,1978039479526609313,156244,2957.58154296875,BUTN,"{""buttonStatus"": 2120}"
156246,1978039479526609313,156246,2957.681640625,BUTN,"{""buttonStatus"": 2112}"
156247,1978039479526609313,156247,2957.76513671875,BUTN,"{""buttonStatus"": 2120}"
156249,1978039479526609313,156249,2957.865234375,BUTN,"{""buttonStatus"": 2112}"
156251,1978039479526609313,156251,2957.96533203125,BUTN,"{""buttonStatus"": 2120}"
156254,1978039479526609313,156254,2958.098876953125,BUTN,"{""buttonStatus"": 2112}"
156255,1978039479526609313,156255,2958.16552734375,BUTN,"{""buttonStatus"": 2144}"
156256,1978039479526609313,156256,2958.198974609375,BUTN,"{""buttonStatus"": 2152}"
156258,1978039479526609313,156258,2958.299072265625,BUTN,"{""buttonStatus"": 2144}"
156258,1978039479526609313,156258,2958.315673828125,BUTN,"{""buttonStatus"": 2112}"
156260,1978039479526609313,156260,2958.399169921875,BUTN,"{""buttonStatus"": 2144}"
156261,1978039479526609313,156261,2958.4326171875,BUTN,"{""buttonStatus"": 2152}"
156264,1978039479526609313,156264,2958.59912109375,BUTN,"{""buttonStatus"": 2144}"
156267,1978039479526609313,156267,2958.74951171875,BUTN,"{""buttonStatus"": 2152}"
156270,1978039479526609313,156270,2958.8994140625,BUTN,"{""buttonStatus"": 2144}"
156271,1978039479526609313,156271,2958.94970703125,BUTN,"{""buttonStatus"": 2080}"
156277,1978039479526609313,156277,2959.233154296875,BUTN,"{""buttonStatus"": 32}"
156294,1978039479526609313,156294,2960.117431640625,BUTN,"{""buttonStatus"": 4128}"
156307,1978039479526609313,156307,2960.751220703125,BUTN,"{""buttonStatus"": 4192}"
156318,1978039479526609313,156318,2961.28515625,BUTN,"{""buttonStatus"": 4160}"
156328,1978039479526609313,156328,2961.78564453125,BUTN,"{""buttonStatus"": 4164}"
156330,1978039479526609313,156330,2961.885986328125,BUTN,"{""buttonStatus"": 4160}"
156334,1978039479526609313,156334,2962.0859375,BUTN,"{""buttonStatus"": 4192}"
156343,1978039479526609313,156343,2962.536376953125,BUTN,"{""buttonStatus"": 4196}"
156345,1978039479526609313,156345,2962.63671875,BUTN,"{""buttonStatus"": 4192}"
156345,1978039479526609313,156345,2962.669921875,BUTN,"{""buttonStatus"": 4160}"
156362,1978039479526609313,156362,2963.504150390625,BUTN,"{""buttonStatus"": 4164}"
156364,1978039479526609313,156364,2963.604248046875,BUTN,"{""buttonStatus"": 4160}"
156371,1978039479526609313,156371,2963.97119140625,BUTN,"{""buttonStatus"": 4192}"
156382,1978039479526609313,156382,2964.505126953125,BUTN,"{""buttonStatus"": 4160}"
156390,1978039479526609313,156390,2964.8720703125,BUTN,"{""buttonStatus"": 4164}"
156392,1978039479526609313,156392,2965.005615234375,BUTN,"{""buttonStatus"": 4160}"
156422,1978039479526609313,156422,2966.507080078125,BUTN,"{""buttonStatus"": 4164}"
