m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
155826,1978039479526609313,155826,2936.717529296875,66606,11528,0,0,0,0,0,0,744.47265625,48302.82421875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155836,1978039479526609313,155836,2937.214599609375,66606,12028,0,0,0,0,0,0,781.16796875,48339.51953125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155840,1978039479526609313,155840,2937.414306640625,66606,12228,0,0,0,0,0,0,796.1640625,48354.515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155846,1978039479526609313,155846,2937.712158203125,66606,12528,0,0,0,0,0,0,819.01953125,48377.37109375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155850,1978039479526609313,155850,2937.91259765625,66606,12728,0,0,0,0,0,0,834.484375,48392.8359375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155854,1978039479526609313,155854,2938.112548828125,66606,12928,0,0,0,0,0,0,850.14453125,48408.49609375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155862,1978039479526609313,155862,2938.512939453125,66606,13328,0,0,0,0,0,0,882.078125,48440.4296875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155864,1978039479526609313,155864,2938.613037109375,66606,13428,0,0,0,0,0,0,890.1640625,48448.515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155866,1978039479526609313,155866,2938.713134765625,66606,13528,0,0,0,0,0,0,898.27734375,48456.62890625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155870,1978039479526609313,155870,2938.913330078125,66606,13728,0,0,0,0,0,0,914.61328125,48472.96484375,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155872,1978039479526609313,155872,2939.013427734375,66606,13828,0,0,0,0,0,0,922.83984375,48481.19140625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155882,1978039479526609313,155882,2939.513916015625,66606,14328,0,0,0,0,0,0,964.44140625,48522.79296875,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155892,1978039479526609313,155892,2940.014404296875,66606,14828,0,0,0,0,0,0,1006.65625,48565.0078125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155902,1978039479526609313,155902,2940.514892578125,66606,15328,0,0,0,0,0,0,1049.6875,48608.0390625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155906,1978039479526609313,155906,2940.715087890625,66606,15528,0,0,0,0,0,0,1067.2109375,48625.5625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155914,1978039479526609313,155914,2941.115478515625,66606,15928,0,0,0,0,0,0,1102.68359375,48661.03515625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155924,1978039479526609313,155924,2941.615966796875,66606,16428,0,0,0,0,0,0,1147.35546875,48705.70703125,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155926,1978039479526609313,155926,2941.716064453125,66606,16528,0,0,0,0,0,0,1156.3046875,48714.65625,0,1,12,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
155940,1978039479526609313,155940,2942.416748046875,66606,17241,17074,0,0,0,0,0,1218.9140625,48777.265625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155946,1978039479526609313,155946,2942.717041015625,66606,17541,17074,0,0,0,0,0,1245.734375,48804.0859375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155948,1978039479526609313,155948,2942.8173828125,66606,17641,17074,0,0,0,0,0,1254.6875,48813.0390625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155954,1978039479526609313,155954,2943.117431640625,66606,17941,17074,0,0,0,0,0,1281.4375,48839.7890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155956,1978039479526609313,155956,2943.217529296875,66606,18041,17074,0,0,0,0,0,1289.8125,48848.1640625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155972,1978039479526609313,155972,2944.018310546875,66606,18841,17074,0,0,0,0,0,1343.1015625,48901.453125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155974,1978039479526609313,155974,2944.118408203125,66606,18941,17074,0,0,0,0,0,1348.26953125,48906.62109375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155976,1978039479526609313,155976,2944.218505859375,66606,19041,17074,0,0,0,0,0,1353.16796875,48911.51953125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155982,1978039479526609313,155982,2944.518798828125,66606,19341,17074,0,0,0,0,0,1366.37890625,48924.73046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
155986,1978039479526609313,155986,2944.718994140625,66606,19541,17074,0,0,0,0,0,1373.97265625,48932.32421875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156006,1978039479526609313,156006,2945.719970703125,66606,20541,17074,0,0,0,0,0,1402.04296875,48960.39453125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156012,1978039479526609313,156012,2946.020263671875,66606,20841,17074,0,0,0,0,0,1411.81640625,48970.16796875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156016,1978039479526609313,156016,2946.220458984375,66606,21041,17074,0,0,0,0,0,1415.9765625,48974.328125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156036,1978039479526609313,156036,2947.221435546875,66606,22041,17074,0,0,0,0,0,1434.453125,48992.8046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156038,1978039479526609313,156038,2947.321533203125,66606,22141,17074,0,0,0,0,0,1436.46875,48994.8203125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156042,1978039479526609313,156042,2947.521728515625,66606,22341,17074,0,0,0,0,0,1440.65625,48999.0078125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156050,1978039479526609313,156050,2947.922119140625,66606,22741,17074,0,0,0,0,0,1450.09765625,49008.44921875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156060,1978039479526609313,156060,2948.406005859375,66606,23224,17074,0,0,0,0,0,1463.99609375,49022.34765625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156062,1978039479526609313,156062,2948.506103515625,66606,23324,17074,0,0,0,0,0,1467.17578125,49025.52734375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156066,1978039479526609313,156066,2948.706298828125,66606,23524,17074,0,0,0,0,0,1473.8984375,49032.25,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156076,1978039479526609313,156076,2949.20654296875,66606,24024,17074,0,0,0,0,0,1493.0859375,49051.4375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156108,1978039479526609313,156108,2950.808349609375,66606,25624,17074,0,0,0,0,0,1574.2734375,49132.625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156110,1978039479526609313,156110,2950.908447265625,66606,25724,17074,0,0,0,0,0,1580.21484375,49138.56640625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156114,1978039479526609313,156114,2951.108642578125,66606,25924,17074,0,0,0,0,0,1592.37109375,49150.72265625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156118,1978039479526609313,156118,2951.308837890625,66606,26124,17074,0,0,0,0,0,1604.87890625,49163.23046875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156124,1978039479526609313,156124,2951.609130859375,66606,26424,17074,0,0,0,0,0,1624.2578125,49182.609375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156132,1978039479526609313,156132,2952.009521484375,66606,26824,17074,0,0,0,0,0,1651.15625,49209.5078125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
156136,1978039479526609313,156136,2952.209716796875,66606,27024,17074,0,0,0,0,0,1665.01171875,49223.36328125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
